"date","course","time","race_name","class","band","distance","going","pos","draw","btn","name","sp","age","weight","gear","jockey","trainer","or","ts","rpr","prize","comment"
10 Sep 2018,Chantilly,12:47,Prix de Picardie (Handicap) (3yo) (Turf),not found,3yo,1m2f,Good,15,3,14.25,Saffo,55/1,3,8-6,,D Zarroli,Delphine Santiago,,40,47,,
15 Mar 2018,Chantilly,2:25,Prix Ronde de Nuit  (3yo) (Turf),Listed,3yo,6f,Heavy,1,9,,Forza Capitano,134/10,3,9-2,,H-A Pantall,Mickael Barzalona,,,106,24336.28,
15 Mar 2018,Chantilly,2:25,Prix Ronde de Nuit  (3yo) (Turf),Listed,3yo,6f,Heavy,2,7,4,Absolute City,17/10F,3,8-13,,J-P Gauvin,Nicolas Perret,,,90,9734.51,
15 Mar 2018,Chantilly,2:25,Prix Ronde de Nuit  (3yo) (Turf),Listed,3yo,6f,Heavy,3,1,4.25,Leonio,7/1,3,9-2,,Antonio Marcialis,Cristian Demuro,,,93,7300.89,
15 Mar 2018,Chantilly,2:25,Prix Ronde de Nuit  (3yo) (Turf),Listed,3yo,6f,Heavy,4,5,7.25,Fastidious,5/2,3,9-2,,Louis Baudron,Pierre-Charles Boudot,,,83,4867.26,
15 Mar 2018,Chantilly,2:25,Prix Ronde de Nuit  (3yo) (Turf),Listed,3yo,6f,Heavy,5,6,7.75,Penny Luz,26/1,3,8-13,,D Guillemin,Ioritz Mendizabal,,,78,2433.63,
15 Mar 2018,Chantilly,2:25,Prix Ronde de Nuit  (3yo) (Turf),Listed,3yo,6f,Heavy,6,4,12.75,Over Reacted,12/1,3,8-13,,F Chappet,Tony Piccone,,,62,,
15 Mar 2018,Chantilly,2:25,Prix Ronde de Nuit  (3yo) (Turf),Listed,3yo,6f,Heavy,7,8,20.75,Gold Earth,22/1,3,9-0,,H-A Pantall,Olivier Peslier,,,38,,
15 Mar 2018,Chantilly,2:25,Prix Ronde de Nuit  (3yo) (Turf),Listed,3yo,6f,Heavy,8,2,22.75,Diamond Vendome,22/5,3,9-2,b,C Ferland,Julien Auge,,,33,,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,1,4,,Corinthia Knight,6/4F,3,9-2,,Archie Watson,Oisin Murphy,,,100,24336.28,Well into stride - settled behind leaders - switch around runners 2f out - ridden over 1 1/2f out - driven to lead inside final furlong - stayed on well
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,2,11,1.25,Drummore,10/1,3,9-2,,A Fabre,Mickael Barzalona,,,96,9734.51,Soon front rank - settled behind leaders - pushed into lead 2f out - ridden over 1f out - driven and headed inside final furlong - stayed on
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,3,3,1.5,Teckwin,26/1,3,9-2,,J-V Toux,Aurelien Lemaitre,,,95,7300.89,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,4,7,2,Batwan,11/1,3,9-2,,P Sogorb,Anthony Crastus,,,94,4867.26,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,5,5,2.5,Beyond My Dreams,13/1,3,9-2,p,H-A Pantall,Pierre-Charles Boudot,,,93,2433.63,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,6,10,2.75,Beau Massagot,13/1,3,9-2,,C Escuder,Franck Blondel,,,92,,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,7,1,3.5,Fou Rire,23/1,3,8-13,,F Chappet,Stephane Pasquier,,,87,,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,8,2,3.5,Mon Ami L'Ecossais,15/1,3,9-2,,S Wattel,Theo Bachelot,,,89,,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,9,9,4.25,River Cannes,29/1,3,8-13,,T Castanheira,Clement Lecoeuvre,,,84,,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,10,8,5,Hergame,53/10,3,8-13,,F Head,Maxime Guyon,,,82,,
15 Mar 2018,Chantilly,1:20,Prix Montenica  (3yo) (Polytrack),Listed,3yo,6.5f,Standard,11,6,6.75,Gheryaf,58/10,3,8-13,p,F Rohaut,Gregory Benoist,,,77,,
9 Mar 2018,Chantilly,1:50,Prix Maurice Caillault  (3yo Colts & Geldings) (Polytrack),Listed,3yo,1m1f,Standard,1,6,,Barade,11/1,3,8-13,,N Clement,Stephane Pasquier,,,100,24336.28,
9 Mar 2018,Chantilly,1:50,Prix Maurice Caillault  (3yo Colts & Geldings) (Polytrack),Listed,3yo,1m1f,Standard,2,2,nk,Boomboom Kiss,6/4F,3,9-0,,J-C Rouget,Christophe Soumillon,,,100,9734.51,
9 Mar 2018,Chantilly,1:50,Prix Maurice Caillault  (3yo Colts & Geldings) (Polytrack),Listed,3yo,1m1f,Standard,3,3,.5,Rovigo,47/10,3,8-13,,C Ferland,Julien Auge,,,99,7300.89,
9 Mar 2018,Chantilly,1:50,Prix Maurice Caillault  (3yo Colts & Geldings) (Polytrack),Listed,3yo,1m1f,Standard,4,1,1,Masterpiece,29/10,3,8-13,,A Fabre,Vincent Cheminaud,,,98,4867.26,
9 Mar 2018,Chantilly,1:50,Prix Maurice Caillault  (3yo Colts & Geldings) (Polytrack),Listed,3yo,1m1f,Standard,5,5,2.5,Cassard,49/10,3,8-13,b,P Monfort,Pierre-Charles Boudot,,,95,2433.63,
9 Mar 2018,Chantilly,1:50,Prix Maurice Caillault  (3yo Colts & Geldings) (Polytrack),Listed,3yo,1m1f,Standard,6,4,14.5,Black Cat,87/10,3,8-13,p,C Lerner,Fabrice Veron,,,70,,
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,1,2,,Qazyna,103/10,3,8-11,,Roger Varian,Olivier Peslier,,,97,23008.85,Close up on inner - pushed along to dispute lead 2f out - led over 1f out - ridden entering final furlong - ran on strongly closing stages - always just doing enough
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,2,8,.5,Music Lover,9/1,4,9-2,,A De Watrigant,Alexandre Roussel,,,97,9203.54,
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,3,5,.75,Haggle,17/5F,5,9-2,,C Laffon-Parias,Maxime Guyon,,,97,6902.65,
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,4,10,1.25,Savaanah,5/1,3,8-11,,Roger Charlton,Gerald Mosse,,,95,4601.77,Close up - nudged along to keep tabs on leaders over 3f out - pushed along 2 1/2f out - ridden over 1f out - unable to go pace inside final furlong
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,5,6,1.75,Bella Bolide,14/1,4,9-2,,Mme Pia Brandt,Cyrille Stefan,,,95,2300.89,
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,6,3,1.75,Summer Icon,36/5,5,9-2,,Mick Channon,Christophe Soumillon,,,94,,Mid-division - struggling to go pace and pushed along over 3f out - ridden 2f out - made progress inside final furlong without threatening
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,7,9,2.25,Wootalove,20/1,4,9-2,,Mme Pia Brandt,Theo Bachelot,,,93,,
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,8,1,2.75,Vespera,16/1,3,8-11,,F-H Graffard,Pierre-Charles Boudot,,,91,,
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,9,11,3,Made To Lead,83/10,3,8-11,,F Chappet,Tony Piccone,,,91,,
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,10,7,4.25,Glamorous Thingie,13/1,3,8-11,,N Clement,Sebastien Maillot,,,88,,
21 Oct 2018,Chantilly,3:55,Prix Casimir Delamarre - Fonds Europeen de l'Elevage  (3yo+ Fillies & Mares) (Turf),Listed,3yo+ Fillies,1m1f,Good,11,4,5.5,Beautiful Memory,13/2,3,8-11,,H-A Pantall,Vincent Cheminaud,,,86,,Raced in mid-division - pushed along and effort on outer 2 1/2f out - ridden 2f out - no impression and weakened inside final furlong
21 Oct 2018,Chantilly,1:35,Prix du Ranelagh  (3yo+) (Turf),Listed,3yo+,1m,Good,1,5,,Stunning Spirit,11/5,4,9-5,,F Head,Aurelien Lemaitre,,85,109,23008.85,
21 Oct 2018,Chantilly,1:35,Prix du Ranelagh  (3yo+) (Turf),Listed,3yo+,1m,Good,2,2,1.25,Kourkan,EvensF,5,9-2,,J-M Beguigne,Christophe Soumillon,,78,103,9203.54,
21 Oct 2018,Chantilly,1:35,Prix du Ranelagh  (3yo+) (Turf),Listed,3yo+,1m,Good,3,1,2.5,Deemster,10/1,3,9-2,,A Fabre,Vincent Cheminaud,,76,102,6902.65,Settled in 3rd on inner - asked for effort over 2f out - ridden entering final furlong - unable to quicken with leader - kept on closing stages but never threatened
21 Oct 2018,Chantilly,1:35,Prix du Ranelagh  (3yo+) (Turf),Listed,3yo+,1m,Good,4,4,5,Zalamea,9/1,5,9-2,,Carina Fey,Eddy Hardouin,,66,95,4601.77,
21 Oct 2018,Chantilly,1:35,Prix du Ranelagh  (3yo+) (Turf),Listed,3yo+,1m,Good,5,6,7,Wireless,71/10,7,9-2,,V Luka Jr,Theo Bachelot,,60,90,2300.89,
21 Oct 2018,Chantilly,1:35,Prix du Ranelagh  (3yo+) (Turf),Listed,3yo+,1m,Good,6,3,7.75,King Platin,13/1,6,9-2,,Mme C Barande-Barbe,Olivier Peslier,,58,88,,
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,1,8,,Called To The Bar,7/5F,4,9-0,,Mme Pia Brandt,Maxime Guyon,,53,103,23008.85,
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,2,3,hd,Casterton,68/10,4,9-3,,A Fabre,Pierre-Charles Boudot,,56,106,9203.54,
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,3,2,1,Tamelly,11/1,5,9-0,,A Fabre,Vincent Cheminaud,,52,102,6902.65,
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,4,7,2.75,Aljezeera,39/10,4,9-0,,H-F Devin,Alexis Badel,,50,100,4601.77,Prominent - shaken up 3f out to keep tabs on leaders - pushed along 2f out - unable to quicken and soon under pressure - kept on same pace inside final furlong
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,5,9,4,Line Des Ongrais,76/10,7,8-10,,P Chemin & C Herpin,Morgan Delalande,,45,94,2300.89,Waited with in rear - last and about 10 lengths off pace 3f from home - driven and no impression 2f out - stayed on inside final furlong - never in contention
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,6,4,4.5,Trip To Rhodos,24/1,9,9-6,,Pavel Tuma,Vaclav Janacek,,54,104,,
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,7,1,6,Baiyouna,71/10,4,8-10,,A De Royer-Dupre,Christophe Soumillon,,42,92,,
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,8,6,6,Melinoe,20/1,4,8-10,,Sir Mark Prescott Bt,Cristian Demuro,,42,92,,Raced a little keenly early - soon led - pushed along when pressed 2 1/2f out - headed inside last 2f - dropped away under pressure final furlong
22 Jun 2018,Chantilly,2:45,Prix la Moskowa  (4yo+) (Turf),Listed,4yo+,1m7f,Good,9,5,7,Mint Julep,31/1,5,9-0,,J E Hammond,Delphine Santiago,,44,95,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,1,10,,Catalouniya,78/10,4,9-0,,Mlle B Renk,Alexis Badel,,,81,23008.85,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,2,11,2,Golden Rajsa,24/1,4,9-1,,Mme Pauline Antoine,Kyllan Barbaud,,,78,8743.36,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,3,13,2.25,La Milva,13/1,5,9-4,,Alex Fracas,Clement Lecoeuvre,,,81,6442.48,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,4,17,2.5,Passion Nonantaise,11/1,4,9-6,,J-P Gauvin,Pierre-Charles Boudot,,,82,3681.42,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,5,6,2.5,New Frosty,15/1,6,9-3,p,Mme Pia Brandt,Maxime Guyon,,,79,1840.71,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,6,5,3,Shanawest,48/10F,6,9-0,,N Caullery,Christophe Soumillon,,,75,1380.53,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,7,3,3.25,Sa Tuna,81/10,4,9-2,,Cedric Rossi,Anthony Crastus,,,76,920.35,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,8,14,4,Magical Forest,15/1,4,9-2,p,G Botti,Pierre Bazire,,,75,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,9,8,4.25,La Michodiere,27/1,4,8-13,,B Beaunez,Antoine Hamelin,,,71,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,10,1,4.25,Autarcie,87/10,4,8-10,,S Wattel,Cristian Demuro,,,68,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,11,15,4.75,Lady Sidney,71/10,4,9-1,b,R Le Dren Doleuze,Gregory Benoist,,,73,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,12,4,5.75,Venerable,18/1,5,9-0,b,H-A Pantall,Mickael Barzalona,,,70,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,13,16,5.75,Lilly Du Havre,62/1,6,8-10,,Mme A-M Poirier,Emmanuel Etienne,,,65,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,14,7,9.75,Daligala,27/1,5,9-2,b,E Libaud,Aurelien Lemaitre,,,63,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,15,12,14.75,Tradigraphie,42/1,7,8-13,,Sebastien Tritz,Mickael Forest,,,50,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,16,9,19.75,Siyaka,19/1,5,9-1,,V Luka Jr,Theo Bachelot,,,42,,
3 Apr 2018,Chantilly,12:47,Prix Lypharita (Handicap) (4yo+ Fillies & Mares) (Polytrack),not found,4yo+ Fillies,1m1.5f,Standard,17,2,21.5,Rosamunde,23/1,4,8-10,,Andreas Suborics,Ioritz Mendizabal,,,33,,
29 Mar 2018,Chantilly,2:20,Prix Right Royal  (4yo+) (Turf),Listed,4yo+,1m7f,Heavy,1,2,,Holdthasigreen,7/10F,6,9-2,p,B Audouin,Tony Piccone,,,112,23008.85,
29 Mar 2018,Chantilly,2:20,Prix Right Royal  (4yo+) (Turf),Listed,4yo+,1m7f,Heavy,2,3,10,Nabunga,10/1,6,9-0,,Gianluca Bietolini,Stephane Pasquier,,,96,9203.54,Settled in midfield - improved to chase leader over 2f out - ridden over 1f out - driven inside final furlong - stayed on but no chance with winner
29 Mar 2018,Chantilly,2:20,Prix Right Royal  (4yo+) (Turf),Listed,4yo+,1m7f,Heavy,3,8,10,Nardo,8/1,8,9-0,,F Foucher,Vincent Cheminaud,,,96,6902.65,
29 Mar 2018,Chantilly,2:20,Prix Right Royal  (4yo+) (Turf),Listed,4yo+,1m7f,Heavy,4,6,10.25,Bonfire Heart,9/2,6,9-0,,R Le Gal,Maxime Guyon,,,96,4601.77,
29 Mar 2018,Chantilly,2:20,Prix Right Royal  (4yo+) (Turf),Listed,4yo+,1m7f,Heavy,5,1,11.25,Coco Panache,26/1,4,8-11,,Mlle H Mennessier,Jerome Moutard,,,96,2300.89,
29 Mar 2018,Chantilly,2:20,Prix Right Royal  (4yo+) (Turf),Listed,4yo+,1m7f,Heavy,6,5,13,Ison,9/1,5,9-0,,M Le Forestier,Mickael Forest,,,92,,
29 Mar 2018,Chantilly,2:20,Prix Right Royal  (4yo+) (Turf),Listed,4yo+,1m7f,Heavy,7,7,14.5,Aurora Gray,43/5,5,8-10,,Hughie Morrison,Ioritz Mendizabal,,,87,,Soon prominent - settled behind leaders - took 2nd over 6f out - tracked leader into straight - ridden and limited response 2f out - soon beaten and eased inside final furlong
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,1,2,,Lady Athena,235/10,3,8-13,,Y Durepaire,Jean-Bernard Eyquem,,70,96,15486.73,
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,2,8,1.25,Fuse,49/10,3,8-13,,F Head,Maxime Guyon,,67,93,5884.96,
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,3,1,3.25,Assonance,17/2,3,8-13,,J-P Gauvin,Antoine Hamelin,,63,89,4336.28,
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,4,5,4.75,Zarkamiya,9/10F,3,8-13,,A De Royer-Dupre,Christophe Soumillon,,60,87,2477.88,
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,5,3,5,One Cool Dancer,14/1,3,8-13,,T Clout,Eddy Hardouin,,59,86,1238.94,
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,6,7,6,Philanthrope,44/5,3,8-13,,H-F Devin,Alexis Badel,,57,84,929.20,
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,7,9,11.5,Duchess Of Danzig,17/1,3,8-13,,H-F Devin,Pierre-Charles Boudot,,46,73,619.47,
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,8,4,12,So Much Joy,74/10,3,8-9,,M Delzangles,Gregory Benoist,,41,68,,
18 May 2018,Chantilly,2:05,Prix de la Chapelle-en-Serval (Conditions) (3yo Fillies) (Turf),not found,3yo Fillies,1m2.5f,Good,9,6,20,Lune De Vati,63/1,3,8-13,,S Wattel,Cristian Demuro,,29,57,,
11 May 2018,Chantilly,2:10,Prix du Mont Pagnotte (Conditions) (3yo Colts & Geldings) (Turf),not found,3yo,1m2.5f,Good,1,1,,Bugle Major,4/5F,3,8-13,,P Bary,Vincent Cheminaud,,39,90,15486.73,
11 May 2018,Chantilly,2:10,Prix du Mont Pagnotte (Conditions) (3yo Colts & Geldings) (Turf),not found,3yo,1m2.5f,Good,2,7,.75,Mahoe,23/1,3,8-11,,A Junk,Olivier Peslier,,35,87,5884.96,
11 May 2018,Chantilly,2:10,Prix du Mont Pagnotte (Conditions) (3yo Colts & Geldings) (Turf),not found,3yo,1m2.5f,Good,3,3,1,Aydon Castle,31/5,3,8-9,,A Fabre,Mickael Barzalona,,32,84,4336.28,Settled in midfield - improved to take closer order over 2f out - ridden to chase leaders over 1f out - stayed on strongly inside final furlong
11 May 2018,Chantilly,2:10,Prix du Mont Pagnotte (Conditions) (3yo Colts & Geldings) (Turf),not found,3yo,1m2.5f,Good,4,4,1.5,Bimini Twist,33/1,3,8-9,,D & P Prod'Homme,Fabrice Veron,,31,83,2477.88,
11 May 2018,Chantilly,2:10,Prix du Mont Pagnotte (Conditions) (3yo Colts & Geldings) (Turf),not found,3yo,1m2.5f,Good,5,2,3,Rock Or Bust,11/1,3,8-13,,Rod Collet,Cristian Demuro,,32,84,1238.94,
11 May 2018,Chantilly,2:10,Prix du Mont Pagnotte (Conditions) (3yo Colts & Geldings) (Turf),not found,3yo,1m2.5f,Good,6,8,3.5,Buster,44/5,3,8-13,,N Caullery,Gregory Benoist,,31,83,929.20,
11 May 2018,Chantilly,2:10,Prix du Mont Pagnotte (Conditions) (3yo Colts & Geldings) (Turf),not found,3yo,1m2.5f,Good,7,5,4.5,Mutawajjeh,17/2,3,8-13,,J-C Rouget,Hugo Journiac,,29,81,619.47,Tracked leader - pushed along to hold position over 2f out - ridden 1 1/2f out - weakened final furlong
11 May 2018,Chantilly,2:10,Prix du Mont Pagnotte (Conditions) (3yo Colts & Geldings) (Turf),not found,3yo,1m2.5f,Good,8,6,5.25,Parabak,6/1,3,8-13,,M Delzangles,Christophe Soumillon,,27,80,,
27 Apr 2018,Chantilly,12:25,Prix de Laigneville (Conditions) (3yo) (Turf),not found,3yo,1m2f,Good,1,3,,Hishikari,58/10,3,8-13,,A Fabre,Mickael Barzalona,,71,95,15486.73,Settled behind leader - pushed into lead 2f out - ridden to extend advantage over 1f out - stayed on strongly final furlong
27 Apr 2018,Chantilly,12:25,Prix de Laigneville (Conditions) (3yo) (Turf),not found,3yo,1m2f,Good,2,1,1.75,Near Gold,7/5F,3,8-13,,F Head,Aurelien Lemaitre,,67,92,5884.96,
27 Apr 2018,Chantilly,12:25,Prix de Laigneville (Conditions) (3yo) (Turf),not found,3yo,1m2f,Good,3,4,2.25,Chailloue,23/10,3,8-13,,J-C Rouget,Cristian Demuro,,66,91,4336.28,
27 Apr 2018,Chantilly,12:25,Prix de Laigneville (Conditions) (3yo) (Turf),not found,3yo,1m2f,Good,4,2,2.5,Glamorous Thingie,11/1,3,8-9,,N Clement,Stephane Pasquier,,61,86,2477.88,
27 Apr 2018,Chantilly,12:25,Prix de Laigneville (Conditions) (3yo) (Turf),not found,3yo,1m2f,Good,5,5,5,Runrized,10/1,3,8-13,,L Gadbin,Theo Bachelot,,60,85,1238.94,
27 Apr 2018,Chantilly,12:25,Prix de Laigneville (Conditions) (3yo) (Turf),not found,3yo,1m2f,Good,6,6,9,Mister Horpy,15/1,3,8-13,,H-A Pantall,Pierre-Charles Boudot,,52,77,929.20,
27 Apr 2018,Chantilly,12:25,Prix de Laigneville (Conditions) (3yo) (Turf),not found,3yo,1m2f,Good,7,8,9.25,My Buddy,16/1,3,8-9,,E Libaud,Maxime Guyon,,47,73,619.47,
27 Apr 2018,Chantilly,12:25,Prix de Laigneville (Conditions) (3yo) (Turf),not found,3yo,1m2f,Good,8,7,27.25,Taglioni,24/1,3,8-13,,A Fabre,Vincent Cheminaud,,15,41,,Held up in rear - pushed along over 2f out - never on terms and eased final furlong
22 Jun 2018,Chantilly,1:35,Prix Aly Khan (Conditions) (4yo+) (Turf),not found,4yo+,6f,Good,1,5,,King Malpic,7/5F,5,10-8,,T Lemer,Mr Alexis Lemer,,69,102,14601.77,
22 Jun 2018,Chantilly,1:35,Prix Aly Khan (Conditions) (4yo+) (Turf),not found,4yo+,6f,Good,2,1,3.5,Euryale,9/5,4,10-8,,H-F Devin,Mr Jean-Philippe Boisgontier,,55,90,5548.67,
22 Jun 2018,Chantilly,1:35,Prix Aly Khan (Conditions) (4yo+) (Turf),not found,4yo+,6f,Good,3,4,4.25,Art Collection,9/1,5,10-6,,Andrew Hollinshead,Mr Adrien Desespringalle,,50,86,4088.50,
22 Jun 2018,Chantilly,1:35,Prix Aly Khan (Conditions) (4yo+) (Turf),not found,4yo+,6f,Good,4,3,5.5,Zalamea,36/5,5,10-6,,Carina Fey,Mr Damien Artu,,45,82,2336.28,
22 Jun 2018,Chantilly,1:35,Prix Aly Khan (Conditions) (4yo+) (Turf),not found,4yo+,6f,Good,5,2,5.75,Millfield,49/10,5,10-9,,D Smaga,Mr Guilain Bertrand,,47,84,1168.14,
22 Jun 2018,Chantilly,1:35,Prix Aly Khan (Conditions) (4yo+) (Turf),not found,4yo+,6f,Good,6,6,7.25,Egeria,46/1,4,10-2,p,C Plisson,Mr Thomas Guineheux,,34,72,876.11,
22 Jun 2018,Chantilly,1:35,Prix Aly Khan (Conditions) (4yo+) (Turf),not found,4yo+,6f,Good,7,7,22.25,Esclarmonde,64/1,4,10-6,,J Schiestel Fils,John Schiestel Fils,,,28,584.07,
